2026-04-06T18:43:13  INFO     [18:43:13.780] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.8 min left
2026-04-06T18:43:13  INFO     [18:43:13.981] [KXBTC15M] HOLDING NO | cur=99c entry=89c | unrealized=$+0.10 | 1.8 min left
2026-04-06T18:43:14  INFO     [18:43:14.005] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.8 min left
2026-04-06T18:43:14  INFO     [18:43:14.533] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.8 min left
2026-04-06T18:43:14  INFO     [18:43:14.716] [KXBTC15M] HOLDING NO | cur=99c entry=89c | unrealized=$+0.10 | 1.8 min left
2026-04-06T18:43:14  INFO     [18:43:14.731] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.8 min left
2026-04-06T18:43:15  INFO     [18:43:15.287] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:15  INFO     [18:43:15.444] [KXBTC15M] HOLDING NO | cur=99c entry=89c | unrealized=$+0.10 | 1.7 min left
2026-04-06T18:43:15  INFO     [18:43:15.457] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:16  INFO     [18:43:16.031] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:16  INFO     [18:43:16.183] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:16  INFO     [18:43:16.201] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:16  INFO     [18:43:16.784] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:16  INFO     [18:43:16.915] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:16  INFO     [18:43:16.933] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:17  INFO     [18:43:17.527] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:17  INFO     [18:43:17.647] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:17  INFO     [18:43:17.662] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:18  INFO     [18:43:18.264] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:18  INFO     [18:43:18.375] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:18  INFO     [18:43:18.389] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:19  INFO     [18:43:19.005] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:19  INFO     [18:43:19.101] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:19  INFO     [18:43:19.115] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:19  INFO     [18:43:19.750] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:19  INFO     [18:43:19.827] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:19  INFO     [18:43:19.844] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:20  INFO     [18:43:20.487] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:20  INFO     [18:43:20.557] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:20  INFO     [18:43:20.573] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.7 min left
2026-04-06T18:43:21  INFO     [18:43:21.230] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:21  INFO     [18:43:21.285] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:21  INFO     [18:43:21.299] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:21  INFO     [18:43:21.975] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:22  INFO     [18:43:22.013] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:22  INFO     [18:43:22.029] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:22  INFO     [18:43:22.714] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:22  INFO     [18:43:22.741] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:22  INFO     [18:43:22.756] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:23  INFO     [18:43:23.453] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:23  INFO     [18:43:23.465] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:23  INFO     [18:43:23.482] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:24  INFO     [18:43:24.197] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:24  INFO     [18:43:24.199] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:24  INFO     [18:43:24.214] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:24  INFO     [18:43:24.929] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:24  INFO     [18:43:24.933] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:24  INFO     [18:43:24.939] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:25  INFO     [18:43:25.665] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:25  INFO     [18:43:25.670] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:25  INFO     [18:43:25.673] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:26  INFO     [18:43:26.400] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:26  INFO     [18:43:26.404] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:26  INFO     [18:43:26.412] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.6 min left
2026-04-06T18:43:27  INFO     [18:43:27.136] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:27  INFO     [18:43:27.140] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:27  INFO     [18:43:27.149] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:27  INFO     [18:43:27.868] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:27  INFO     [18:43:27.871] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:27  INFO     [18:43:27.886] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:28  INFO     [18:43:28.594] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:28  INFO     [18:43:28.601] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:28  INFO     [18:43:28.622] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:29  INFO     [18:43:29.333] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:29  INFO     [18:43:29.337] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:29  INFO     [18:43:29.356] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:30  INFO     [18:43:30.069] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:30  INFO     [18:43:30.073] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:30  INFO     [18:43:30.125] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.5 min left
2026-04-06T18:43:30  INFO     [18:43:30.799] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:30  INFO     [18:43:30.805] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:30  INFO     [18:43:30.866] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.5 min left
2026-04-06T18:43:31  INFO     [18:43:31.534] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:31  INFO     [18:43:31.569] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:31  INFO     [18:43:31.605] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.5 min left
2026-04-06T18:43:32  INFO     [18:43:32.270] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:32  INFO     [18:43:32.303] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.5 min left
2026-04-06T18:43:32  INFO     [18:43:32.341] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.5 min left
2026-04-06T18:43:33  INFO     [18:43:33.003] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:33  INFO     [18:43:33.029] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:33  INFO     [18:43:33.078] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
2026-04-06T18:43:33  INFO     [18:43:33.732] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:33  INFO     [18:43:33.762] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:33  INFO     [18:43:33.817] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
2026-04-06T18:43:34  INFO     [18:43:34.467] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:34  INFO     [18:43:34.496] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:34  INFO     [18:43:34.554] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
2026-04-06T18:43:35  INFO     [18:43:35.207] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:35  INFO     [18:43:35.223] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:35  INFO     [18:43:35.292] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
2026-04-06T18:43:35  INFO     [18:43:35.944] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:35  INFO     [18:43:35.950] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:36  INFO     [18:43:36.029] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
2026-04-06T18:43:36  INFO     [18:43:36.681] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:36  INFO     [18:43:36.685] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:36  INFO     [18:43:36.768] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
